id,Time,Type,Notes
4,6:15PM 03-19-2017,Pee,
5,10:25PM 03-19-2017,Pee,
6,1:18AM 03-20-2017,Poo,
7,8:14AM 03-20-2017,Poo,
8,12:33PM 03-20-2017,Poo And Pee,
9,8:50PM 03-20-2017,Poo,
10,10:30PM 03-20-2017,Pee,With pink crystal shit in it. Utica acid crystals
11,8:44AM 03-21-2017,Pee,
12,10:40AM 03-21-2017,Poo,
13,1:13PM 03-21-2017,Pee,
14,8:19PM 03-21-2017,Poo And Pee,
15,10:20PM 03-21-2017,Poo And Pee,
16,7:14AM 03-22-2017,Pee,
19,11:12AM 03-22-2017,Pee,
17,11:56AM 03-22-2017,Pee,
18,2:37PM 03-22-2017,Poo And Pee,
20,5:59PM 03-22-2017,Pee,
21,7:34PM 03-22-2017,Poo And Pee,
22,3:28AM 03-23-2017,Poo And Pee,Brown poo
23,7:59AM 03-23-2017,Poo And Pee,
24,9:52AM 03-23-2017,Poo And Pee,
25,12:47PM 03-23-2017,Poo And Pee,
26,5:07PM 03-23-2017,Poo And Pee,
28,8:45PM 03-23-2017,Poo,
29,2:43AM 03-24-2017,Pee,
30,9:54AM 03-24-2017,Poo And Pee,
31,3:27PM 03-24-2017,Poo,
32,3:42PM 03-24-2017,Poo And Pee,
33,10:25PM 03-24-2017,Pee,
34,1:59AM 03-25-2017,Pee,
35,7:15AM 03-25-2017,Pee,
36,8:46AM 03-25-2017,Poo,More of a wet fart. Not much there 
37,12:29PM 03-25-2017,Poo And Pee,
38,2:37PM 03-25-2017,Pee,
39,6:15PM 03-25-2017,Pee,
40,9:09PM 03-25-2017,Poo And Pee,Lots of pee. Green poop 
41,3:13AM 03-26-2017,Poo And Pee,
42,6:34AM 03-26-2017,Poo,
43,11:02AM 03-26-2017,Poo And Pee,More pee and poo mid change 
45,3:21PM 03-26-2017,Poo And Pee,
44,4:50PM 03-26-2017,Poo And Pee,
46,8:51PM 03-26-2017,Pee,
47,10:00PM 03-26-2017,Poo And Pee,
48,1:30AM 03-27-2017,Pee,
49,4:00AM 03-27-2017,Pee,
50,8:23AM 03-27-2017,Pee,
51,8:50AM 03-27-2017,Poo And Pee,
52,11:00AM 03-27-2017,Poo And Pee,
53,2:38PM 03-27-2017,Pee,
54,5:15PM 03-27-2017,Poo And Pee,Small bit of poop
55,8:00PM 03-27-2017,Poo And Pee,
56,10:20PM 03-27-2017,Poo And Pee,
57,10:27PM 03-27-2017,Poo And Pee,
58,6:14AM 03-28-2017,Poo And Pee,Very small poop
59,9:39AM 03-28-2017,Poo And Pee,
60,1:31PM 03-28-2017,Poo And Pee,
62,8:30PM 03-28-2017,Poo And Pee,
61,10:18PM 03-28-2017,Poo And Pee,
63,11:34PM 03-28-2017,Poo And Pee,
65,12:52AM 03-29-2017,Poo And Pee,
64,6:26AM 03-29-2017,Pee,
66,10:06AM 03-29-2017,Poo And Pee,
67,12:00PM 03-29-2017,Pee,
68,1:26PM 03-29-2017,Poo And Pee,
69,3:05PM 03-29-2017,Pee,
70,3:55PM 03-29-2017,Poo And Pee,
71,7:23PM 03-29-2017,Poo And Pee,Very wet!
72,8:51PM 03-29-2017,Poo And Pee,
73,11:04PM 03-29-2017,Pee,
74,4:06AM 03-30-2017,Pee,
75,5:52AM 03-30-2017,Poo And Pee,On the table again...
77,9:00AM 03-30-2017,Pee,
76,12:05PM 03-30-2017,Pee,
78,3:07PM 03-30-2017,Poo And Pee,
79,6:37PM 03-30-2017,Pee,
80,8:24PM 03-30-2017,Poo And Pee,
81,9:45PM 03-30-2017,Pee,
82,12:00AM 03-31-2017,Pee,
83,3:35AM 03-31-2017,Pee,
84,6:43AM 03-31-2017,Pee,
85,10:26AM 03-31-2017,Poo And Pee,
86,3:10PM 03-31-2017,Poo And Pee,
87,8:10PM 03-31-2017,Poo And Pee,
88,10:15PM 03-31-2017,Pee,
89,3:50AM 04-01-2017,Pee,
90,7:58AM 04-01-2017,Pee,
91,9:23AM 04-01-2017,Pee,
93,1:09PM 04-01-2017,Poo And Pee,
92,1:59PM 04-01-2017,Pee,
94,3:33PM 04-01-2017,Poo And Pee,
95,5:10PM 04-01-2017,Pee,
96,8:35PM 04-01-2017,Poo And Pee,Extra pee on table 🙈
97,9:48PM 04-01-2017,Pee,
98,1:55AM 04-02-2017,Pee,
99,5:16AM 04-02-2017,Pee,
100,5:45AM 04-02-2017,Poo And Pee,Stinky
101,9:36AM 04-02-2017,Poo And Pee,
102,12:21PM 04-02-2017,Poo And Pee,
103,12:55PM 04-02-2017,Pee,
104,3:09PM 04-02-2017,Poo And Pee,
105,8:10PM 04-02-2017,Pee,
106,10:10PM 04-02-2017,Poo And Pee,
