id,Start Time,End Time,Feeding History ID
1,1490001353655,1490001367664,4
2,1490001683747,1490001844240,4
3,1490002239523,1490002290344,4
4,1490002360102,1490002416253,4
5,1490002463377,1490002614420,4
6,1490015180393,1490015390117,6
7,1490016046837,1490016468347,7
8,1490016486287,1490018190187,7
9,1490018665909,1490018998941,7
10,1490019675736,1490019696368,7
11,1490019753456,1490019811972,7
12,1490020371223,1490020454357,7
13,1490042802044,1490042974033,12
14,1490057916411,1490057989209,14
15,1490058678588,1490058865586,15
16,1490065633071,1490065686106,17
17,1490081937417,1490082188812,19
18,1490082350099,1490082371680,19
19,1490092590031,1490092607732,22
20,1490092809703,1490092921074,22
21,1490093247970,1490093291639,22
22,1490110257727,1490110285265,23
23,1490112097323,1490112132116,23
24,1490112355154,1490112397023,23
25,1490113188577,1490113304618,24
26,1490113625200,1490113809277,24
27,1490122726152,1490122847639,25
28,1490134911087,1490135061777,27
29,1490139465541,1490139466458,28
30,1490139590658,1490139707431,28
31,1490140176835,1490140250269,28
32,1490142813729,1490142849244,29
33,1490148476193,1490148566724,30
34,1490150335623,1490150360889,31
35,1490150449833,1490150586242,31
36,1490150877121,1490150902772,31
37,1490157195471,1490157285839,32
38,1490157445308,1490157740597,32
39,1490158241939,1490158598367,32
40,1490159184580,1490159247213,32
41,1490160589386,1490160613499,33
42,1490177226757,1490177240717,34
43,1490178376379,1490178451882,35
44,1490178866472,1490179232281,35
45,1490179443336,1490179505003,35
46,1490181700320,1490181929981,36
47,1490193343535,1490193409586,37
48,1490193473037,1490193510154,37
49,1490193872054,1490193917522,37
50,1490194313102,1490194507731,37
51,1490194914953,1490195050820,38
52,1490202718968,1490202758037,40
53,1490202809898,1490202896685,40
54,1490203204213,1490203281366,40
55,1490203795623,1490203842091,40
56,1490211416128,1490211880852,41
57,1490211888209,1490212142106,41
58,1490212475757,1490212740275,41
59,1490219222408,1490219379099,42
60,1490220242517,1490220400112,42
61,1490220872469,1490220883537,42
62,1490232223854,1490232318790,45
63,1490232459657,1490232534611,45
64,1490232622305,1490233133076,45
65,1490236825264,1490236887724,46
66,1490236916666,1490237114344,46
67,1490238602343,1490238624606,47
68,1490244645577,1490245083643,48
69,1490245579111,1490245600849,48
70,1490245687524,1490245687637,48
71,1490245690826,1490245722959,48
72,1490245990251,1490246161396,48
73,1490262574613,1490262710715,50
74,1490265268637,1490265335818,51
75,1490265356007,1490265429375,51
76,1490265523304,1490265734385,51
77,1490277312341,1490277433767,53
78,1490278756644,1490279055550,54
79,1490281428154,1490281493353,55
80,1490281606301,1490281679807,55
81,1490281790013,1490281828081,55
82,1490282179681,1490282239925,55
83,1490289220622,1490289380606,56
84,1490289857980,1490289898546,56
85,1490291153788,1490291168789,57
86,1490299659042,1490299768943,58
87,1490301124202,1490301137063,59
88,1490308283790,1490308436645,60
89,1490308510691,1490308566956,60
90,1490309163917,1490309295041,60
91,1490310954791,1490310975375,61
92,1490320265733,1490320354164,62
93,1490320901994,1490321216548,62
94,1490323193426,1490323242918,63
95,1490323387095,1490323495787,63
96,1490323512508,1490323622282,63
97,1490329236306,1490329729248,64
98,1490329826694,1490329873294,64
99,1490330081910,1490330095541,64
100,1490330150699,1490330184748,64
101,1490332607496,1490332874362,66
102,1490333601191,1490333618823,66
103,1490333653146,1490333757269,66
104,1490341915423,1490341937160,67
105,1490342718514,1490342898816,67
106,1490342950269,1490342962948,67
107,1490343189354,1490343195453,67
108,1490345013087,1490345068791,68
109,1490345249943,1490345265691,68
110,1490348017968,1490348629043,69
111,1490359379683,1490359590695,70
112,1490360021419,1490360067522,70
113,1490360133562,1490360198514,70
114,1490368851787,1490368878812,72
115,1490369060929,1490369073397,72
116,1490369318688,1490369433309,72
117,1490389879509,1490389924920,75
118,1490390187189,1490390219267,75
119,1490396196803,1490396342135,77
120,1490397811093,1490398154410,78
121,1490398700554,1490398730170,78
122,1490398854750,1490398950556,78
123,1490403733679,1490403793668,79
124,1490404022307,1490404035452,79
125,1490404211757,1490404221303,79
126,1490404279779,1490404344815,79
127,1490404455143,1490404546298,79
128,1490404722550,1490404728896,79
129,1490405069049,1490405124984,79
130,1490405170491,1490405259594,79
131,1490405318337,1490405368705,79
132,1490406169652,1490406291981,80
133,1490406333924,1490406513017,80
134,1490406659575,1490406679774,80
135,1490411610239,1490411845197,81
136,1490412102740,1490412229246,81
137,1490412781592,1490412925637,81
138,1490412981970,1490413128870,81
139,1490415222455,1490415367677,82
140,1490415794582,1490415840965,82
141,1490416571250,1490416737515,82
142,1490417558180,1490417787319,82
143,1490418102530,1490418177680,82
144,1490430360586,1490430604703,83
145,1490430863614,1490431026272,83
146,1490432719005,1490433434559,84
147,1490433565690,1490433638709,84
148,1490433814496,1490433832126,84
149,1490433904920,1490433928184,84
150,1490453021299,1490453134830,85
151,1490455027470,1490455269057,86
152,1490457136917,1490457167901,87
153,1490457488565,1490457617991,87
154,1490457669466,1490457738900,87
155,1490471243624,1490471339618,89
156,1490473211924,1490473265763,90
157,1490473736036,1490474062455,90
158,1490479321906,1490479507898,91
159,1490480179286,1490480236766,91
160,1490480564476,1490480590056,91
161,1490485815142,1490486103899,92
162,1490486300987,1490486491966,92
163,1490486957823,1490486987139,92
164,1490487217477,1490487372930,92
165,1490487590086,1490487625417,92
166,1490487797148,1490487849545,92
167,1490497454800,1490497501797,94
168,1490497842319,1490497853194,94
169,1490497880484,1490497918298,94
170,1490498014993,1490498167953,94
171,1490498351430,1490498439126,94
172,1490498494817,1490498508718,94
173,1490512318812,1490512680427,96
174,1490512726688,1490512754383,96
175,1490514075764,1490514302346,97
176,1490514683667,1490514693431,97
177,1490514723035,1490515255194,97
178,1490515719388,1490515992992,97
179,1490523695338,1490524162730,99
180,1490524338965,1490524484190,99
181,1490524726847,1490524742195,99
182,1490524793069,1490524860089,99
183,1490525068562,1490525107776,99
184,1490536230483,1490536434385,100
185,1490548207730,1490548370203,102
186,1490548867059,1490549034420,102
187,1490549194304,1490549220918,102
188,1490549362650,1490549468622,102
189,1490549607336,1490549623320,102
190,1490549851539,1490549906560,102
191,1490549953085,1490550032871,102
192,1490552037503,1490552070316,103
193,1490552300039,1490552323270,103
194,1490552357011,1490552404478,103
195,1490552525125,1490552581193,103
196,1490552881753,1490552922970,103
197,1490553034247,1490553065931,103
198,1490553244267,1490553328504,103
199,1490553531624,1490553577141,103
200,1490568127651,1490568510419,105
201,1490569692535,1490569709632,106
202,1490576340337,1490576345136,107
203,1490576403174,1490576476945,107
204,1490576811830,1490576950169,107
205,1490577328505,1490577343270,107
206,1490577385107,1490577458950,107
207,1490577506756,1490577572923,107
208,1490578519951,1490578987048,108
209,1490583709422,1490583724790,109
210,1490583866576,1490583877420,109
211,1490584122862,1490584446369,109
212,1490584754162,1490584818282,109
213,1490584973681,1490585259116,109
214,1490585366843,1490585416264,109
215,1490585780840,1490585797204,109
216,1490601133964,1490601379386,112
217,1490601813328,1490601889683,112
218,1490601919137,1490601956070,112
219,1490602078867,1490602324885,112
220,1490610625684,1490610726498,115
221,1490626071404,1490626175882,117
222,1490626959578,1490627080757,117
223,1490649199405,1490649274284,123
224,1490660486115,1490660516063,125
225,1490660803425,1490661409038,125
226,1490662923218,1490662937343,126
227,1490663011954,1490663034620,126
228,1490663214535,1490663263436,126
229,1490663553017,1490663564296,126
230,1490663761650,1490663956695,126
231,1490671598359,1490671606113,127
232,1490674217032,1490674242596,128
233,1490674490571,1490674638430,128
234,1490674696231,1490674717025,128
235,1490674949352,1490674983825,128
236,1490674995561,1490675042014,128
237,1490675165328,1490675309535,128
238,1490675402770,1490675423678,128
239,1490675455635,1490675485602,128
240,1490675672582,1490675682734,128
241,1490676336372,1490676355043,129
242,1490676447228,1490676457745,129
243,1490705605952,1490705665248,131
244,1490707249905,1490707296472,132
245,1490707493626,1490707512011,132
246,1490707637353,1490707683573,132
247,1490707761497,1490707803833,132
248,1490718054618,1490718245429,133
249,1490718336606,1490718957357,133
250,1490719433611,1490719491876,133
251,1490720146173,1490720367116,133
252,1490720514106,1490720563418,133
253,1490720692681,1490720708613,133
254,1490720761437,1490720771251,133
255,1490720881980,1490720942534,133
256,1490725439613,1490725468913,134
257,1490725514433,1490725531217,134
258,1490746628238,1490746663722,139
259,1490746782567,1490746965014,139
260,1490759005273,1490759016010,142
261,1490759241128,1490759253828,142
262,1490759297581,1490759353334,142
263,1490759503335,1490759523868,142
264,1490759608275,1490759724681,142
265,1490759802595,1490759819626,142
266,1490759894451,1490759996022,142
267,1490760106438,1490760125835,142
268,1490760377392,1490760385440,142
269,1490761150418,1490761182118,143
270,1490761427947,1490761438000,143
271,1490761504183,1490761588184,143
272,1490761681681,1490761700243,143
273,1490774231620,1490774338652,146
