id,Start Time,End Time,Notes,Approximate Duration (Minutes)
1,6:34AM 03-20-2017,6:56AM 03-20-2017,,22
2,1:10AM 03-21-2017,1:18AM 03-21-2017,,8
3,2:49PM 03-21-2017,3:11PM 03-21-2017,,23
4,10:45PM 03-22-2017,2:15AM 03-23-2017,In bassinet the whole time!,210
6,8:15AM 03-23-2017,9:45AM 03-23-2017,,90
10,11:00AM 03-27-2017,5:30AM 03-28-2017,Slept great!,1110
9,1:00AM 03-28-2017,8:30AM 03-29-2017,Fussy through the night,1890
7,1:08AM 03-29-2017,1:36AM 03-29-2017,,28
11,11:30PM 04-16-2017,3:25AM 04-17-2017,,235
12,10:00PM 04-21-2017,1:45AM 04-22-2017,,225
13,3:15AM 04-22-2017,6:10AM 04-22-2017,,175
14,6:55AM 04-22-2017,9:00AM 04-22-2017,On the couch  with stretches and grunts,125
15,5:50PM 05-09-2017,6:30PM 05-09-2017,,41
16,9:10PM 05-10-2017,3:05AM 05-11-2017,,354
17,4:30AM 05-11-2017,7:15AM 05-11-2017,Guessing on start time. Went into crib just after 4,165
18,7:43AM 05-11-2017,7:48AM 05-11-2017,,5
19,12:05PM 05-11-2017,12:57PM 05-11-2017,,53
20,3:02PM 05-11-2017,3:36PM 05-11-2017,,35
21,5:05PM 05-11-2017,5:44PM 05-11-2017,,39
22,7:15PM 05-11-2017,7:30PM 05-11-2017,Tricked me. Quick nap,15
23,10:15PM 05-11-2017,3:37AM 05-12-2017,,321
24,4:07AM 05-12-2017,6:09AM 05-12-2017,,122
25,6:50AM 05-12-2017,6:56AM 05-12-2017,,5
26,7:15AM 05-12-2017,8:30AM 05-12-2017,,75
27,9:35AM 05-12-2017,11:14AM 05-12-2017,,100
28,3:00PM 05-12-2017,6:01PM 05-12-2017,,181
29,10:48PM 05-12-2017,3:32AM 05-13-2017,,284
30,4:30AM 05-13-2017,7:20AM 05-13-2017,,170
31,10:22AM 05-13-2017,10:55AM 05-13-2017,,34
32,12:58PM 05-13-2017,1:40PM 05-13-2017,,42
33,7:30PM 05-13-2017,8:08PM 05-13-2017,,37
34,11:04PM 05-13-2017,3:34AM 05-14-2017,,270
35,4:17AM 05-14-2017,6:46AM 05-14-2017,,149
36,10:13AM 05-14-2017,11:04AM 05-14-2017,,50
37,12:45PM 05-14-2017,3:01PM 05-14-2017,,136
38,5:57PM 05-14-2017,6:35PM 05-14-2017,,38
39,10:52PM 05-14-2017,2:56AM 05-15-2017,,243
40,3:31AM 05-15-2017,5:36AM 05-15-2017,,126
41,6:15AM 05-15-2017,8:50AM 05-15-2017,,155
42,10:37AM 05-15-2017,12:52PM 05-15-2017,,134
43,3:01PM 05-15-2017,3:41PM 05-15-2017,,40
44,5:48PM 05-15-2017,5:57PM 05-15-2017,,9
45,6:30PM 05-15-2017,6:58PM 05-15-2017,,28
46,10:46PM 05-15-2017,2:10AM 05-16-2017,,204
47,2:51AM 05-16-2017,5:45AM 05-16-2017,,174
48,6:17AM 05-16-2017,7:20AM 05-16-2017,,63
50,12:21PM 05-16-2017,1:09PM 05-16-2017,,48
52,4:55PM 05-16-2017,5:02PM 05-16-2017,,7
53,5:55PM 05-16-2017,6:25PM 05-16-2017,,30
54,8:37PM 05-16-2017,9:06PM 05-16-2017,,29
55,10:20PM 05-16-2017,3:06AM 05-17-2017,,286
56,3:53AM 05-17-2017,6:40AM 05-17-2017,,167
58,7:26AM 05-17-2017,9:48AM 05-17-2017,,142
59,11:25AM 05-17-2017,12:21PM 05-17-2017,,56
60,12:23PM 05-17-2017,1:25PM 05-17-2017,,61
61,2:40PM 05-17-2017,3:00PM 05-17-2017,,20
62,4:34PM 05-17-2017,6:37PM 05-17-2017,,124
63,10:40PM 05-17-2017,2:11AM 05-18-2017,,212
64,2:52AM 05-18-2017,4:58AM 05-18-2017,,127
65,5:19AM 05-18-2017,7:20AM 05-18-2017,,121
66,8:47AM 05-18-2017,11:03AM 05-18-2017,,136
67,3:51PM 05-18-2017,4:17PM 05-18-2017,,26
68,7:50PM 05-18-2017,8:31PM 05-18-2017,,41
69,10:51PM 05-18-2017,1:01AM 05-19-2017,,131
70,1:44AM 05-19-2017,5:45AM 05-19-2017,,241
71,7:25AM 05-19-2017,8:15AM 05-19-2017,,50
72,9:58AM 05-19-2017,10:16AM 05-19-2017,Woke during transfer to crib,19
73,10:48AM 05-19-2017,12:54PM 05-19-2017,,126
74,3:08PM 05-19-2017,3:32PM 05-19-2017,,24
75,7:38PM 05-19-2017,8:17PM 05-19-2017,,39
76,9:51PM 05-19-2017,2:51AM 05-20-2017,,300
77,3:21AM 05-20-2017,7:30AM 05-20-2017,,248
78,9:45AM 05-20-2017,10:38AM 05-20-2017,,53
79,12:48PM 05-20-2017,1:06PM 05-20-2017,,18
80,1:14PM 05-20-2017,2:51PM 05-20-2017,,98
81,4:24PM 05-20-2017,5:11PM 05-20-2017,,47
82,8:11PM 05-20-2017,8:29PM 05-20-2017,,18
83,11:26PM 05-20-2017,2:31AM 05-21-2017,,186
86,4:01AM 05-21-2017,7:06AM 05-21-2017,,186
87,9:00AM 05-21-2017,9:35AM 05-21-2017,,35
88,11:56AM 05-21-2017,12:35PM 05-21-2017,Car nap. Less than this time,38
89,12:42PM 05-21-2017,1:28PM 05-21-2017,,46
90,8:57PM 05-21-2017,1:23AM 05-22-2017,,266
91,1:35AM 05-22-2017,5:28AM 05-22-2017,,233
92,6:12AM 05-22-2017,8:45AM 05-22-2017,,153
93,10:22AM 05-22-2017,11:07AM 05-22-2017,Awake but quiet for last bit,45
94,1:40PM 05-22-2017,2:54PM 05-22-2017,,74
95,4:20PM 05-22-2017,5:38PM 05-22-2017,,78
96,7:20PM 05-22-2017,8:19PM 05-22-2017,,59
97,9:55PM 05-22-2017,1:15AM 05-23-2017,,199
98,1:48AM 05-23-2017,5:34AM 05-23-2017,,226
99,5:55AM 05-23-2017,8:01AM 05-23-2017,,126
100,8:49AM 05-23-2017,8:56AM 05-23-2017,,7
101,10:14AM 05-23-2017,11:00AM 05-23-2017,,46
102,1:06PM 05-23-2017,2:00PM 05-23-2017,,54
